Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD
2020,3.05,-11.47,-6.98,15.54,8.51,14.74,16.51,21.66,-10.25,-6,9.55,11.46,78.24
2021,-0.55,-7.97,0.73,7.62,-5.05,9.91,6.5,4.25,-6.8,5.87,10.51,7.42,34.65
2022,-1.57,-5.41,5.75,-9.71,-5.45,-8.14,18.86,-3.12,-12.1,10.96,-3.3,-12.23,-26.4
2023,11.05,2.32,11.86,2.9,4.61,9.43,1.28,-4.24,-8.87,-0.26,11.38,2.27,50.35
