Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD
2020,-1.45,14.3,-2.4,10.88,21.47,7.06,11.76,26,1.2,-7.36,6.92,-2.56,118.02
2021,-0.5,5.58,-2.64,12.45,8.23,23.16,-2.52,14.82,-7.46,23.42,27.81,-9.98,125.48
2022,-16.75,-0.41,11.92,-32.03,0.67,-18.8,19.82,-16.9,-19.55,11.19,25.42,-13.64,-50.26
2023,33.69,18.83,19.67,-0.1,36.34,11.82,10.47,5.62,-11.86,-6.25,14.69,-0.36,218.99
