,2020,2021,2022,2023
Interest Burden Ratio,0.988,0.9976,1.0028,1.005
Tax Burden Ratio,0.8661,0.869,0.8356,0.8486
Operating Profit Margin,0.2444,0.2985,0.302,0.2967
Asset Turnover,,1.0841,1.1206,1.0868
Equity Multiplier,,5.255,6.1862,6.252
Return on Equity,,1.4744,1.7546,1.7195
