,2020,2021,2022,2023
Interest Burden Ratio,0.9985,0.9833,0.996,0.9912
Tax Burden Ratio,0.8361,0.8764,0.8723,0.8174
Operating Profit Margin,0.3708,0.423,0.4222,0.4214
Asset Turnover,,0.5293,0.5676,0.5456
Equity Multiplier,,2.4399,2.2643,2.0839
Return on Equity,,0.4708,0.4715,0.3882
