,2020,2021,2022,2023
Interest Burden Ratio,0.9582,1.0279,1.0101,1.0103
Tax Burden Ratio,0.9824,0.9559,0.9712,1.0341
Operating Profit Margin,0.272,0.2644,0.3694,0.155
Asset Turnover,,0.7233,0.7376,0.6319
Equity Multiplier,,1.5846,1.6775,1.7525
Return on Equity,,0.2978,0.4483,0.1793
